Timestamp_UTC,Symbol,Side,Regime,Raw_Proba,Calib_Proba,Threshold,Expected_PF,EV_Adj,Uncertainty,Status,Reject_Reason,Outcome_1H_PnL,Outcome_6H_PnL,Outcome_12H_PnL
2026-05-06T20:00:24.114573,SOLUSDT,LONG,0,0.2947,0.2947,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.295 < 0.7),,,
2026-05-06T20:00:24.115572,SOLUSDT,SHORT,0,0.295,0.295,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:24.631752,BNBUSDT,LONG,0,0.3394,0.3394,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.339 < 0.7),,,
2026-05-06T20:00:24.631752,BNBUSDT,SHORT,0,0.3943,0.3943,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:25.163056,XRPUSDT,LONG,0,0.452,0.452,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.452 < 0.7),,,
2026-05-06T20:00:25.163056,XRPUSDT,SHORT,0,0.342,0.342,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:25.684924,DOGEUSDT,LONG,0,0.3665,0.3665,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.367 < 0.7),,,
2026-05-06T20:00:25.684924,DOGEUSDT,SHORT,0,0.5018,0.5018,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:26.195582,AVAXUSDT,LONG,0,0.1488,0.1488,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.149 < 0.7),,,
2026-05-06T20:00:26.195582,AVAXUSDT,SHORT,0,0.4814,0.4814,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:26.712474,LINKUSDT,LONG,0,0.2102,0.2102,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.210 < 0.7),,,
2026-05-06T20:00:26.712474,LINKUSDT,SHORT,0,0.4057,0.4057,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:27.201772,NEARUSDT,LONG,0,0.0288,0.0288,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.029 < 0.7),,,
2026-05-06T20:00:27.201772,NEARUSDT,SHORT,0,0.4284,0.4284,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:27.696271,ADAUSDT,LONG,0,0.1036,0.1036,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.104 < 0.7),,,
2026-05-06T20:00:27.696271,ADAUSDT,SHORT,0,0.5366,0.5366,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:28.410046,BTCUSDT,LONG,0,0.2796,0.2796,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.280 < 0.7),,,
2026-05-06T20:00:28.410046,BTCUSDT,SHORT,0,0.6708,0.6708,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:28.914291,ETHUSDT,LONG,0,0.7783,0.7783,0.7,1.131,0.0,0.0,PASSED_T1,,,,
2026-05-06T20:00:28.914291,ETHUSDT,SHORT,0,0.3721,0.3721,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:29.611425,SOLUSDT,LONG,0,0.2947,0.2947,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.295 < 0.7),,,
2026-05-06T20:00:29.612424,SOLUSDT,SHORT,0,0.2942,0.2942,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:30.337436,BNBUSDT,LONG,0,0.3394,0.3394,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.339 < 0.7),,,
2026-05-06T20:00:30.337436,BNBUSDT,SHORT,0,0.3943,0.3943,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:30.839550,XRPUSDT,LONG,0,0.452,0.452,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.452 < 0.7),,,
2026-05-06T20:00:30.839550,XRPUSDT,SHORT,0,0.342,0.342,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:31.341261,DOGEUSDT,LONG,0,0.3665,0.3665,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.367 < 0.7),,,
2026-05-06T20:00:31.341261,DOGEUSDT,SHORT,0,0.4984,0.4984,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:31.853318,AVAXUSDT,LONG,0,0.1488,0.1488,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.149 < 0.7),,,
