Timestamp_UTC,Symbol,Side,Regime,Model_Ver,Feat_Hash,Raw_Proba,Calib_Proba,Threshold,P_L_0,P_L_1,P_L_2,P_S_0,P_S_1,P_S_2,EV_Adj,Uncertainty,Status,Reject_Stage,Reject_Reason,Outcome_1H_PnL,Outcome_6H_PnL,Outcome_12H_PnL
2026-05-07T07:03:28.439640,NEARUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.427,0.427,0.99,0.0288,0.0288,0.0288,0.427,0.427,0.427,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:29.584546,ADAUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1995,0.1995,0.7,0.1995,0.1995,0.1995,0.5564,0.5564,0.5564,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.200 < 0.7),,,
2026-05-07T07:03:29.585547,ADAUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.5564,0.5564,0.99,0.1995,0.1995,0.1995,0.5564,0.5564,0.5564,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:23.428495,SMOKE_BTC,LONG,0,smoke_test_ver,smoke_test_hash,0.6,0.65,0.7,0.6,0.5,0.4,0.3,0.4,0.5,0.02,0.01,SMOKE_PASSED,NONE,Testing Execution,,,
2026-05-07T07:24:24.446174,BTCUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.4738,0.4738,0.7,0.4738,0.4738,0.4738,0.6495,0.6495,0.6495,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.474 < 0.7),,,
2026-05-07T07:24:24.446174,BTCUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6495,0.6495,0.99,0.4738,0.4738,0.4738,0.6495,0.6495,0.6495,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:25.618810,ETHUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6186,0.6186,0.7,0.6186,0.6186,0.6186,0.3714,0.3714,0.3714,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.619 < 0.7),,,
2026-05-07T07:24:25.619811,ETHUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.3714,0.3714,0.99,0.6186,0.6186,0.6186,0.3714,0.3714,0.3714,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:26.622068,SOLUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1557,0.1557,0.7,0.1557,0.1557,0.1557,0.5729,0.5729,0.5729,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.156 < 0.7),,,
2026-05-07T07:24:26.623068,SOLUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.5729,0.5729,0.99,0.1557,0.1557,0.1557,0.5729,0.5729,0.5729,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:27.534011,BNBUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.103,0.103,0.7,0.103,0.103,0.103,0.6607,0.6607,0.6607,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.103 < 0.7),,,
2026-05-07T07:24:27.534011,BNBUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6607,0.6607,0.99,0.103,0.103,0.103,0.6607,0.6607,0.6607,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:28.448219,XRPUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6557,0.6557,0.7,0.6557,0.6557,0.6557,0.4819,0.4819,0.4819,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.656 < 0.7),,,
2026-05-07T07:24:28.449218,XRPUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.4819,0.4819,0.99,0.6557,0.6557,0.6557,0.4819,0.4819,0.4819,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:29.055747,DOGEUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.5783,0.5783,0.7,0.5783,0.5783,0.5783,0.7423,0.7423,0.7423,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.578 < 0.7),,,
2026-05-07T07:24:29.055747,DOGEUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.7423,0.7423,0.99,0.5783,0.5783,0.5783,0.7423,0.7423,0.7423,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:30.015580,AVAXUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.2213,0.2213,0.7,0.2213,0.2213,0.2213,0.6926,0.6926,0.6926,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.221 < 0.7),,,
2026-05-07T07:24:30.015580,AVAXUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6926,0.6926,0.99,0.2213,0.2213,0.2213,0.6926,0.6926,0.6926,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:31.076131,LINKUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1374,0.1374,0.7,0.1374,0.1374,0.1374,0.6295,0.6295,0.6295,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.137 < 0.7),,,
2026-05-07T07:24:31.077130,LINKUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6295,0.6295,0.99,0.1374,0.1374,0.1374,0.6295,0.6295,0.6295,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:31.981866,NEARUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.0262,0.0262,0.7,0.0262,0.0262,0.0262,0.4296,0.4296,0.4296,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.026 < 0.7),,,
2026-05-07T07:24:31.982866,NEARUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.4296,0.4296,0.99,0.0262,0.0262,0.0262,0.4296,0.4296,0.4296,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:24:32.958507,ADAUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1629,0.1629,0.7,0.1629,0.1629,0.1629,0.5807,0.5807,0.5807,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.163 < 0.7),,,
2026-05-07T07:24:32.959507,ADAUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.5807,0.5807,0.99,0.1629,0.1629,0.1629,0.5807,0.5807,0.5807,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:29:00.032151,SMOKE_BTC,LONG,0,smoke_test_ver,smoke_test_hash,0.6,0.65,0.7,0.6,0.5,0.4,0.3,0.4,0.5,0.02,0.01,SMOKE_PASSED,NONE,Testing Execution,,,
2026-05-07T07:29:00.889548,BTCUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.4815,0.4815,0.7,0.4815,0.4815,0.4815,0.6455,0.6455,0.6455,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.481 < 0.7),,,
2026-05-07T07:29:00.889548,BTCUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6455,0.6455,0.99,0.4815,0.4815,0.4815,0.6455,0.6455,0.6455,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:29:01.497557,ETHUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6213,0.6213,0.7,0.6213,0.6213,0.6213,0.3714,0.3714,0.3714,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.621 < 0.7),,,
2026-05-07T07:29:01.497557,ETHUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.3714,0.3714,0.99,0.6213,0.6213,0.6213,0.3714,0.3714,0.3714,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:29:02.090808,SOLUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1544,0.1544,0.7,0.1544,0.1544,0.1544,0.5695,0.5695,0.5695,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.154 < 0.7),,,
2026-05-07T07:29:02.090808,SOLUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.5695,0.5695,0.99,0.1544,0.1544,0.1544,0.5695,0.5695,0.5695,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:29:02.693239,BNBUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1101,0.1101,0.7,0.1101,0.1101,0.1101,0.6569,0.6569,0.6569,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.110 < 0.7),,,
2026-05-07T07:29:02.693239,BNBUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6569,0.6569,0.99,0.1101,0.1101,0.1101,0.6569,0.6569,0.6569,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:29:03.285971,XRPUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6507,0.6507,0.7,0.6507,0.6507,0.6507,0.4668,0.4668,0.4668,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.651 < 0.7),,,
